round,accuracy,accuracy_pct,loss,precision,precision_pct,recall,recall_pct,f1_score,f1_pct,client_0_accuracy,client_0_accuracy_pct,client_1_accuracy,client_1_accuracy_pct,client_2_accuracy,client_2_accuracy_pct,client_3_accuracy,client_3_accuracy_pct,total_samples,actual_attack,actual_normal,predicted_attack,predicted_normal,true_positives,true_negatives,false_positives,false_negatives
52,0.8506591618061066,85.07,1.5761575400829315,0.6596828413534535,65.97,0.31169518807184005,31.17,0.42334802377087793,42.33,0.8504462838172913,85.04,0.8512977957725525,85.13,0.8504462838172913,85.04,0.8504462838172913,85.04,67113,11804,55309,5545,61568,3656,53420,1889,8148
53,0.8499252945184708,84.99,1.5789916217327118,0.653867862662626,65.39,0.3117587258556422,31.18,0.4222007742486235,42.22,0.8497161269187927,84.97,0.8497161269187927,84.97,0.8505527973175049,85.06,0.8497161269187927,84.97,67113,11804,55309,5594,61519,3656,53371,1938,8148
54,0.8494187146425247,84.94,1.5853872299194336,0.6518845579184562,65.19,0.3086877329718739,30.87,0.41897020476076735,41.90,0.8492095470428467,84.92,0.8492095470428467,84.92,0.8492095470428467,84.92,0.8500462174415588,85.00,67113,11804,55309,5562,61551,3623,53370,1939,8181
55,0.854399099946022,85.44,1.561251848936081,0.6907681130635669,69.08,0.31169518807184005,31.17,0.4295505746744588,42.96,0.855171799659729,85.52,0.8541415333747864,85.41,0.8541415333747864,85.41,0.8541415333747864,85.41,67114,11804,55310,5420,61694,3752,53642,1668,8052
56,0.8589250147342682,85.89,1.5481639802455902,0.7364048939800407,73.64,0.3082217892239919,30.82,0.43455300750774595,43.46,0.8586711883544922,85.87,0.8586711883544922,85.87,0.8596864938735962,85.97,0.8586711883544922,85.87,67113,11804,55309,4917,62196,3618,54010,1299,8186
57,0.8608359694480896,86.08,1.5421174466609955,0.7574221777837885,75.74,0.3071204676380888,30.71,0.4370261329617862,43.70,0.8605784177780151,86.06,0.8605784177780151,86.06,0.861608624458313,86.16,0.8605784177780151,86.06,67113,11804,55309,4763,62350,3605,54151,1158,8199
58,0.8613351434469223,86.13,1.5401583313941956,0.7627819445290362,76.28,0.30709928837682143,30.71,0.4378947155260573,43.79,0.8610105514526367,86.10,0.862308919429779,86.23,0.8610105514526367,86.10,0.8610105514526367,86.10,67113,11804,55309,4734,62379,3605,54180,1129,8199
59,0.8620764166116714,86.21,1.5373549163341522,0.7709946369616189,77.10,0.3069933920704846,30.70,0.4391302554588671,43.91,0.8631284236907959,86.31,0.8617257475852966,86.17,0.8617257475852966,86.17,0.8617257475852966,86.17,67114,11804,55310,4748,62366,3683,54245,1065,8121
60,0.8629480600357056,86.29,1.5340015590190887,0.7808320518552955,78.08,0.30690867502541513,30.69,0.44062564889859934,44.06,0.8625303506851196,86.25,0.8625303506851196,86.25,0.8642011880874634,86.42,0.8625303506851196,86.25,67113,11804,55309,4628,62485,3603,54284,1025,8201
61,0.8627953380346298,86.28,1.534248024225235,0.7787526571030237,77.88,0.3071628261606235,30.72,0.4405553471426903,44.06,0.8624111413955688,86.24,0.8624111413955688,86.24,0.8639479279518127,86.39,0.8624111413955688,86.24,67113,11804,55309,4644,62469,3607,54272,1037,8197
62,0.8627692610025406,86.28,1.533778578042984,0.7778910931023626,77.79,0.3075652321247035,30.76,0.4408294131400747,44.08,0.862396240234375,86.24,0.862396240234375,86.24,0.8638883233070374,86.39,0.862396240234375,86.24,67113,11804,55309,4651,62462,3610,54268,1041,8194
63,0.8574499189853668,85.74,1.5480969548225403,0.7176872871885541,71.77,0.3123941036936632,31.24,0.43529971293200265,43.53,0.8572258949279785,85.72,0.8581219911575317,85.81,0.8572258949279785,85.72,0.8572258949279785,85.72,67113,11804,55309,5110,62003,3666,53865,1444,8138
64,0.8565149307250977,85.65,1.5514912903308868,0.7088027638528573,70.88,0.3126270755676042,31.26,0.43387624866920305,43.39,0.8562573790550232,85.63,0.8562573790550232,85.63,0.8562573790550232,85.63,0.857287585735321,85.73,67113,11804,55309,5179,61934,3668,53798,1511,8136
65,0.8570028990507126,85.70,1.5496972799301147,0.7133916942113644,71.34,0.3125211792612674,31.25,0.4346303507747813,43.46,0.8567341566085815,85.67,0.8567341566085815,85.67,0.8578091263771057,85.78,0.8567341566085815,85.67,67113,11804,55309,5145,61968,3667,53831,1478,8137
66,0.8574983477592468,85.75,1.5491413474082947,0.7190121675002757,71.90,0.3115257539817011,31.15,0.4346987849429038,43.47,0.8572407960891724,85.72,0.8572407960891724,85.72,0.8572407960891724,85.72,0.8582710027694702,85.83,67113,11804,55309,5087,62026,3655,53877,1432,8149
67,0.8577814251184464,85.78,1.5530236661434174,0.7253621485568131,72.54,0.30800999661131817,30.80,0.4324013930582895,43.24,0.8575089573860168,85.75,0.8575089573860168,85.75,0.8575089573860168,85.75,0.8585988283157349,85.86,67113,11804,55309,4989,62124,3615,53935,1374,8189
68,0.8575505018234253,85.76,1.5476054847240448,0.7185594500445833,71.86,0.3124576414774653,31.25,0.43552349773453397,43.55,0.8572556972503662,85.73,0.8572556972503662,85.73,0.8584349155426025,85.84,0.8572556972503662,85.73,67113,11804,55309,5108,62005,3666,53867,1442,8138
69,0.857386589050293,85.74,1.5481983721256256,0.7169841713842527,71.70,0.3125,31.25,0.4352731838911346,43.53,0.8571215867996216,85.71,0.8571215867996216,85.71,0.8581815958023071,85.82,0.8571215867996216,85.71,67113,11804,55309,5117,61996,3666,53858,1451,8138
70,0.8572748303413391,85.73,1.5487645864486694,0.7160199047638264,71.60,0.3124152829549306,31.24,0.4350155875789305,43.50,0.8581815958023071,85.82,0.8569725751876831,85.70,0.8569725751876831,85.70,0.8569725751876831,85.70,67114,11804,55310,5220,61894,3753,53843,1467,8051
71,0.8576286882162094,85.76,1.552757203578949,0.7232399997733627,72.32,0.3086241951880718,30.86,0.43262803093582813,43.26,0.8573897480964661,85.74,0.8573897480964661,85.74,0.8573897480964661,85.74,0.8583455085754395,85.83,67113,11804,55309,5015,62098,3624,53918,1391,8180
72,0.8578075021505356,85.78,1.553553432226181,0.726089373908833,72.61,0.3075652321247035,30.76,0.4320928400231199,43.21,0.8575387597084045,85.75,0.8586137294769287,85.86,0.8575387597084045,85.75,0.8575387597084045,85.75,67113,11804,55309,4979,62134,3611,53941,1368,8193
73,0.8576957434415817,85.77,1.5544515550136566,0.7253387097625155,72.53,0.307247543205693,30.72,0.43164640435655843,43.16,0.8574195504188538,85.74,0.8585243225097656,85.85,0.8574195504188538,85.74,0.8574195504188538,85.74,67113,11804,55309,4979,62134,3607,53937,1372,8197
74,0.86609947681427,86.61,1.5218337774276733,0.8186219794714414,81.86,0.3066333446289393,30.66,0.4461406062994723,44.61,0.8658978343009949,86.59,0.8658978343009949,86.59,0.8658978343009949,86.59,0.8667044043540955,86.67,67113,11804,55309,4394,62719,3599,54514,795,8205
75,0.864452987909317,86.45,1.5273696780204773,0.7975828406081636,79.76,0.3073534395120298,30.74,0.4437000630287488,44.37,0.8643779754638672,86.44,0.8643779754638672,86.44,0.8643779754638672,86.44,0.8646780252456665,86.47,67113,11804,55309,4512,62601,3607,54404,905,8197
76,0.8635403513908386,86.35,1.5312787592411041,0.7872750780950981,78.73,0.30716282616062357,30.72,0.441891443940791,44.19,0.863498866558075,86.35,0.8636648058891296,86.37,0.863498866558075,86.35,0.863498866558075,86.35,67113,11804,55309,4567,62546,3605,54347,962,8199
77,0.859379455447197,85.94,1.5475601255893707,0.7420198204404576,74.20,0.30737461877329714,30.74,0.43466629078134617,43.47,0.8594480752944946,85.94,0.8593565821647644,85.94,0.8593565821647644,85.94,0.8593565821647644,85.94,67114,11804,55310,5013,62101,3692,53989,1321,8112
78,0.8581800311803818,85.82,1.552582025527954,0.7301916695610738,73.02,0.30720518468315827,30.72,0.43244492059963796,43.24,0.85817950963974,85.82,0.8581815958023071,85.82,0.85817950963974,85.82,0.85817950963974,85.82,67113,11804,55309,4924,62189,3605,53990,1319,8199
79,0.8569879978895187,85.70,1.5579364597797394,0.7190267975126312,71.90,0.3067815994578109,30.68,0.43005489281593995,43.01,0.8569278717041016,85.69,0.8571683764457703,85.72,0.8569278717041016,85.69,0.8569278717041016,85.69,67113,11804,55309,5000,62113,3601,53910,1399,8203
80,0.8545220345258713,85.45,1.5671307742595673,0.6957445853136249,69.57,0.3072263639444256,30.72,0.4262240007836775,42.62,0.8544246554374695,85.44,0.8544246554374695,85.44,0.8544246554374695,85.44,0.8548141717910767,85.48,67113,11804,55309,5178,61935,3606,53737,1572,8198
81,0.8633838891983032,86.34,1.5307252705097198,0.7842732807648614,78.43,0.30798881735005085,30.80,0.442270692905275,44.23,0.8633051514625549,86.33,0.8633051514625549,86.33,0.8636201024055481,86.36,0.8633051514625549,86.33,67113,11804,55309,4598,62515,3614,54325,984,8190
82,0.8654959946870804,86.55,1.5221563279628754,0.808804845127445,80.88,0.30809471365638763,30.81,0.4462032382984012,44.62,0.8652868866920471,86.53,0.8652868866920471,86.53,0.8661233186721802,86.61,0.8652868866920471,86.53,67113,11804,55309,4467,62646,3615,54457,852,8189
83,0.8649149090051651,86.49,1.524140328168869,0.8014827070192538,80.15,0.30832768553032874,30.83,0.44532520213609833,44.53,0.8647058010101318,86.47,0.8655422329902649,86.55,0.8647058010101318,86.47,0.8647058010101318,86.47,67113,11804,55309,4512,62601,3618,54415,894,8186
84,0.8648292273283005,86.48,1.522278517484665,0.7980728921121648,79.81,0.30987377160284646,30.99,0.44640523219070105,44.64,0.8646163940429688,86.46,0.8646163940429688,86.46,0.8654677271842957,86.55,0.8646163940429688,86.46,67113,11804,55309,4556,62557,3637,54390,919,8167
85,0.8647882491350174,86.48,1.52316614985466,0.7983775931430951,79.84,0.3093654693324297,30.94,0.4459245145060239,44.59,0.864586591720581,86.46,0.864586591720581,86.46,0.864586591720581,86.46,0.8653932213783264,86.54,67113,11804,55309,4546,62567,3631,54394,915,8173
